"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added"
"1277",".hack//INFECTION","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-28 21:48:05"
"117948","1-2-Switch","Nintendo Switch [NA]","None","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-29 14:43:04"
"9611","3D Dot Game Heroes","PlayStation 3 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-29 12:10:38"
"144239","Aaero (silver cover)","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2018-11-11 23:09:25"
"144087","Ace of Seafood","PlayStation 4 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","0000-00-00 00:00:00"
"23504","Advanced Dungeons & Dragons: Curse of the Azure Bonds","PC [NA]","","No","No","No","No","","0000-00-00","2015-11-02 23:40:04"
"91225","Adventure Time: Finn & Jake Investigations","PlayStation 4 [NA]","","No","No","No","No","","0000-00-00","2018-03-11 15:41:51"
"9367","Adventures Of Willy Beamish, The","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:05:28"
"9705","Aero Blasters","TurboGrafx-16 [NA]","","No","No","No","No","","0000-00-00","2018-03-31 19:47:16"
"9368","After Burner III","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:05:28"
"9179","Air-Sea Battle (picture label)","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:27:12"
"9948","Airlock","Atari 2600 (VCS) [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-01-27 21:21:20"
"7906","Albert Odyssey: Legend of Eldean (group disc art)","Sega Saturn [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:18:12"
"9982","Alex Kidd in the Enchanted Castle","Sega Genesis [NA]","","No","No","No","No","","0000-00-00","2015-10-06 23:34:16"
"1482","Alias","PlayStation 2 [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 16:39:32"
"9707","Alien Crush","TurboGrafx-16 [NA]","35.00","Yes","Yes","Yes","No","0.00","1993-00-00","2015-10-06 23:52:23"
"8177","Alien Front Online","Sega Dreamcast [NA]","","No","No","No","No","","0000-00-00","2015-10-07 15:58:53"
"7896","Alien Syndrome","Sega Master System [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-05-04 07:26:27"
"20799","Alien Syndrome","Wii [NA]","","No","No","No","No","","0000-00-00","2017-01-28 20:44:02"
"13236","Alpha Protocol: The Espionage RPG","PlayStation 3 [NA]","","No","No","No","No","","0000-00-00","2017-01-28 22:27:14"
"9237","Altered Beast","Sega Genesis [NA]","","No","No","No","No","","0000-00-00","2015-10-06 23:34:16"
"89504","Alundra (castle disc)","PlayStation [NA]","","No","No","No","No","","0000-00-00","2015-10-16 21:17:29"
"89504","Alundra (castle disc)","PlayStation [NA]","","No","No","No","No","","0000-00-00","2017-03-19 17:20:58"
"6153","Alundra 2: A New Legend Begins","PlayStation [NA]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2017-03-19 17:14:10"
"9370","Amazing Spider-Man vs. The Kingpin, The","Sega CD [NA]","","No","No","No","No","","0000-00-00","2015-10-07 00:05:28"
